1, NULL, NULL, NULL, NULL, NULL, NULL, Понедiлок, ФеС-11
2, Вища математика (лекц),доц. Зелiско Г.В.,128, NULL, NULL, NULL, Понедiлок, ФеС-11
3, Алг.та структ.даних (лекц),доц. Вельгош С.Р.,129, NULL, NULL, NULL, Понедiлок, ФеС-11
4, Об.-орiєнт.прогр. (лекц),доц. Злобiн Г.Г.,128, NULL, NULL, NULL, Понедiлок, ФеС-11
5, NULL, NULL, NULL, NULL, NULL, NULL, Понедiлок, ФеС-11
6, NULL, NULL, NULL, NULL, NULL, NULL, Понедiлок, ФеС-11
1, NULL, NULL, NULL, NULL, NULL, NULL, Вiвторок, ФеС-11
2, NULL, NULL, NULL, NULL, NULL, NULL, Вiвторок, ФеС-11
3, Вища математика (пр),доц. Зелiско Г.В.,3, NULL, NULL, NULL, Вiвторок, ФеС-11
4, Iноземна мова (пр),доц. Саламаха М.Я.,70, NULL, NULL, NULL, Вiвторок, ФеС-11
5, Фiзвиховання (лекц),NULL, NULL, NULL, NULL, NULL, Вiвторок, ФеС-11
6, NULL, NULL, NULL, NULL, NULL, NULL, Вiвторок, ФеС-11
7, NULL, NULL, NULL, NULL, NULL, NULL, Вiвторок, ФеС-11
1, NULL, NULL, NULL, NULL, NULL, NULL, Середа, ФеС-11
2, Управл. IТ проектами (лаб),доц. Ненчук Т.М.,11,Об.-орiєнт.прогр. (лаб),доц. Злобiн Г.Г.,313,Середа, ФеС-11
3, Об.-орiєнт.прогр. (лаб),доц. Злобiн Г.Г.,313,Управл. IТ проектами (лаб),ас. Рибак А.В.,11,Середа, ФеС-11
4, Iноземна мова (пр),доц. Саламаха М.Я.,72, NULL, NULL, NULL, Середа, ФеС-11
5, Алг.та структ.даних (лаб),доц. Вельгош С.Р.,12, NULL, NULL, NULL, Середа, ФеС-11
6, NULL, NULL, NULL, NULL, NULL, NULL, Середа, ФеС-11
7, NULL, NULL, NULL, NULL, NULL, NULL, Середа, ФеС-11
1, NULL, NULL, NULL, NULL, NULL, NULL, Четвер, ФеС-11
2, Вища математика (пр),доц. Зелiско Г.В.,406, NULL, NULL, NULL, Четвер, ФеС-11
3, Алг.та структ.даних (лаб),доц. Вельгош С.Р.,12, NULL, NULL, NULL, Четвер, ФеС-11
4, NULL, NULL, NULL, NULL, NULL, NULL, Четвер, ФеС-11
5, NULL, NULL, NULL, NULL, NULL, NULL, Четвер, ФеС-11
6, NULL, NULL, NULL, NULL, NULL, NULL, Четвер, ФеС-11
7, NULL, NULL, NULL, NULL, NULL, NULL, Четвер, ФеС-11
1, NULL, NULL, NULL, NULL, NULL, NULL, Пятниця, ФеС-11
2, Вища математика (лекц),доц. Зелiско Г.В.,128, NULL, NULL, NULL, Пятниця, ФеС-11
3, Управл. IТ проектами (лекц),доц. Ненчук Т.М.,2, NULL, NULL, NULL, Пятниця, ФеС-11
1, NULL, NULL, NULL, NULL, NULL, NULL, Понедiлок, ФеС-12
2, Вища математика (лекц),доц. Зелiско Г.В.,128, NULL, NULL, NULL, Понедiлок, ФеС-12
3, Алг.та структ.даних (лекц),доц. Вельгош С.Р.,129, NULL, NULL, NULL, Понедiлок, ФеС-12
4, Об.-орiєнт.прогр. (лекц),доц. Злобiн Г.Г.,128, NULL, NULL, NULL, Понедiлок, ФеС-12
5, NULL, NULL, NULL, NULL, NULL, NULL, Понедiлок, ФеС-12
6, NULL, NULL, NULL, NULL, NULL, NULL, Понедiлок, ФеС-12
